Political party;Region;Number of people
E. Klaus Riskær Pedersen;10. FALKONER;273
E. Klaus Riskær Pedersen;11. SLOTS;292
E. Klaus Riskær Pedersen;12. TÅRNBY;377
E. Klaus Riskær Pedersen;KØBENHAVNS OMEGNS STORKREDS;2481
E. Klaus Riskær Pedersen;1. GENTOFTE;378
E. Klaus Riskær Pedersen;2. LYNGBY;300
E. Klaus Riskær Pedersen;3. GLADSAXE;336
E. Klaus Riskær Pedersen;4. RØDOVRE;304
E. Klaus Riskær Pedersen;5. HVIDOVRE;258
E. Klaus Riskær Pedersen;6. BRØNDBY;251
E. Klaus Riskær Pedersen;7. TAASTRUP;327
E. Klaus Riskær Pedersen;8. BALLERUP;327
E. Klaus Riskær Pedersen;NORDSJÆLLANDS STORKREDS;2753
E. Klaus Riskær Pedersen;1. HELSINGØR;405
E. Klaus Riskær Pedersen;2. FREDENSBORG;376
E. Klaus Riskær Pedersen;3. HILLERØD;566
E. Klaus Riskær Pedersen;4. FREDERIKSSUND;536
E. Klaus Riskær Pedersen;5. EGEDAL;459
E. Klaus Riskær Pedersen;6. RUDERSDAL;411
E. Klaus Riskær Pedersen;BORNHOLMS STORKREDS;221
E. Klaus Riskær Pedersen;1. RØNNE;91
E. Klaus Riskær Pedersen;2. AAKIRKEBY;130
E. Klaus Riskær Pedersen;SJÆLLAND-SYDDANMARK;11095
E. Klaus Riskær Pedersen;SJÆLLANDS STORKREDS;5329
E. Klaus Riskær Pedersen;1. LOLLAND;213
E. Klaus Riskær Pedersen;2. GULDBORGSUND;407
E. Klaus Riskær Pedersen;3. VORDINGBORG;277
E. Klaus Riskær Pedersen;4. NÆSTVED;507
E. Klaus Riskær Pedersen;5. FAXE;471
E. Klaus Riskær Pedersen;6. KØGE;542
E. Klaus Riskær Pedersen;7. GREVE;386
E. Klaus Riskær Pedersen;8. ROSKILDE;520
E. Klaus Riskær Pedersen;9. HOLBÆK;540
E. Klaus Riskær Pedersen;10. KALUNDBORG;597
E. Klaus Riskær Pedersen;11. RINGSTED;411
E. Klaus Riskær Pedersen;12. SLAGELSE;458
E. Klaus Riskær Pedersen;FYNS STORKREDS;2551
E. Klaus Riskær Pedersen;1. ODENSE ØST;390
E. Klaus Riskær Pedersen;2. ODENSE VEST;311
E. Klaus Riskær Pedersen;3. ODENSE SYD;323
E. Klaus Riskær Pedersen;4. ASSENS;218
E. Klaus Riskær Pedersen;5. MIDDELFART;329
E. Klaus Riskær Pedersen;6. NYBORG;280
E. Klaus Riskær Pedersen;7. SVENDBORG;387
E. Klaus Riskær Pedersen;8. FAABORG;313
E. Klaus Riskær Pedersen;SYDJYLLANDS STORKREDS;3215
E. Klaus Riskær Pedersen;1. SØNDERBORG;281
E. Klaus Riskær Pedersen;2. AABENRAA;226
E. Klaus Riskær Pedersen;3. TØNDER;138
E. Klaus Riskær Pedersen;4. ESBJERG BY;307
E. Klaus Riskær Pedersen;5. ESBJERG OMEGN;264
E. Klaus Riskær Pedersen;6. VARDE;245
E. Klaus Riskær Pedersen;7. VEJEN;279
E. Klaus Riskær Pedersen;8. VEJLE NORD;246
E. Klaus Riskær Pedersen;9. VEJLE SYD;282
E. Klaus Riskær Pedersen;10. FREDERICIA;302
E. Klaus Riskær Pedersen;11. KOLDING NORD;195
E. Klaus Riskær Pedersen;12. KOLDING SYD;210
E. Klaus Riskær Pedersen;13. HADERSLEV;240
E. Klaus Riskær Pedersen;MIDTJYLLAND-NORDJYLLAND;8668
E. Klaus Riskær Pedersen;ØSTJYLLANDS STORKREDS;3674
E. Klaus Riskær Pedersen;1. ÅRHUS SYD;343
E. Klaus Riskær Pedersen;2. ÅRHUS VEST;322
E. Klaus Riskær Pedersen;3. ÅRHUS NORD;418
E. Klaus Riskær Pedersen;4. ÅRHUS ØST;465
E. Klaus Riskær Pedersen;5. DJURS;442
E. Klaus Riskær Pedersen;6. RANDERS NORD;170
E. Klaus Riskær Pedersen;7. RANDERS SYD;229
E. Klaus Riskær Pedersen;8. FAVRSKOV;193
E. Klaus Riskær Pedersen;9. SKANDERBORG;415
E. Klaus Riskær Pedersen;10. HORSENS;442
E. Klaus Riskær Pedersen;11. HEDENSTED;235
E. Klaus Riskær Pedersen;VESTJYLLANDS STORKREDS;1930
E. Klaus Riskær Pedersen;9. HERNING NORD;167
E. Klaus Riskær Pedersen;10. HOLSTEBRO;197
E. Klaus Riskær Pedersen;11. RINGKØBING;167
E. Klaus Riskær Pedersen;1. STRUER;143
E. Klaus Riskær Pedersen;2. SKIVE;148
E. Klaus Riskær Pedersen;3. VIBORG VEST;186
E. Klaus Riskær Pedersen;4. VIBORG ØST;140
E. Klaus Riskær Pedersen;5. SILKEBORG NORD;224
E. Klaus Riskær Pedersen;6. SILKEBORG SYD;225
E. Klaus Riskær Pedersen;7. IKAST;165
E. Klaus Riskær Pedersen;8. HERNING SYD;168
E. Klaus Riskær Pedersen;NORDJYLLANDS STORKREDS;3064
E. Klaus Riskær Pedersen;1. FREDERIKSHAVN;293
E. Klaus Riskær Pedersen;2. HJØRRING;289
E. Klaus Riskær Pedersen;3. BRØNDERSLEV;400
E. Klaus Riskær Pedersen;4. THISTED;270
E. Klaus Riskær Pedersen;5. HIMMERLAND;307
E. Klaus Riskær Pedersen;6. MARIAGERFJORD;207
E. Klaus Riskær Pedersen;7. AALBORG ØST;513
E. Klaus Riskær Pedersen;8. AALBORG VEST;401
E. Klaus Riskær Pedersen;9. AALBORG NORD;384
F. The Socialist Peoples Party;All DENMARK;272304
F. The Socialist Peoples Party;HOVEDSTADEN;102361
F. The Socialist Peoples Party;KØBENHAVNS STORKREDS;52176
F. The Socialist Peoples Party;1. ØSTERBRO;5377
F. The Socialist Peoples Party;2. SUNDBYVESTER;4927
F. The Socialist Peoples Party;3. INDRE BY;3763
F. The Socialist Peoples Party;4. SUNDBYØSTER;4107
F. The Socialist Peoples Party;5. NØRREBRO;6245
F. The Socialist Peoples Party;6. BISPEBJERG;3563
F. The Socialist Peoples Party;7. BRØNSHØJ;5949
F. The Socialist Peoples Party;8. VALBY;3971
F. The Socialist Peoples Party;9. VESTERBRO;4895
F. The Socialist Peoples Party;10. FALKONER;3681
F. The Socialist Peoples Party;11. SLOTS;3194
F. The Socialist Peoples Party;12. TÅRNBY;2504
F. The Socialist Peoples Party;KØBENHAVNS OMEGNS STORKREDS;29101
F. The Socialist Peoples Party;1. GENTOFTE;2779
F. The Socialist Peoples Party;2. LYNGBY;3057
F. The Socialist Peoples Party;3. GLADSAXE;4584
F. The Socialist Peoples Party;4. RØDOVRE;4051
F. The Socialist Peoples Party;5. HVIDOVRE;3424
F. The Socialist Peoples Party;6. BRØNDBY;3049
F. The Socialist Peoples Party;7. TAASTRUP;4313
F. The Socialist Peoples Party;8. BALLERUP;3844
F. The Socialist Peoples Party;NORDSJÆLLANDS STORKREDS;19993
F. The Socialist Peoples Party;1. HELSINGØR;2766
F. The Socialist Peoples Party;2. FREDENSBORG;2359
F. The Socialist Peoples Party;3. HILLERØD;4015
F. The Socialist Peoples Party;4. FREDERIKSSUND;3862
F. The Socialist Peoples Party;5. EGEDAL;3948
F. The Socialist Peoples Party;6. RUDERSDAL;3043
F. The Socialist Peoples Party;BORNHOLMS STORKREDS;1091
F. The Socialist Peoples Party;1. RØNNE;538
F. The Socialist Peoples Party;2. AAKIRKEBY;553
F. The Socialist Peoples Party;SJÆLLAND-SYDDANMARK;89422
F. The Socialist Peoples Party;SJÆLLANDS STORKREDS;45992
F. The Socialist Peoples Party;1. LOLLAND;1736
F. The Socialist Peoples Party;2. GULDBORGSUND;2844
F. The Socialist Peoples Party;3. VORDINGBORG;2804
F. The Socialist Peoples Party;4. NÆSTVED;4192
F. The Socialist Peoples Party;5. FAXE;3525
F. The Socialist Peoples Party;6. KØGE;7854
F. The Socialist Peoples Party;7. GREVE;3048
F. The Socialist Peoples Party;8. ROSKILDE;5924
F. The Socialist Peoples Party;9. HOLBÆK;3189
F. The Socialist Peoples Party;10. KALUNDBORG;3566
F. The Socialist Peoples Party;11. RINGSTED;3522
F. The Socialist Peoples Party;12. SLAGELSE;3788
F. The Socialist Peoples Party;FYNS STORKREDS;20961
F. The Socialist Peoples Party;1. ODENSE ØST;3464
F. The Socialist Peoples Party;2. ODENSE VEST;2894
F. The Socialist Peoples Party;3. ODENSE SYD;3273
F. The Socialist Peoples Party;4. ASSENS;1564
F. The Socialist Peoples Party;5. MIDDELFART;2527
F. The Socialist Peoples Party;6. NYBORG;1967
F. The Socialist Peoples Party;7. SVENDBORG;2987
F. The Socialist Peoples Party;8. FAABORG;2285
F. The Socialist Peoples Party;SYDJYLLANDS STORKREDS;22469
F. The Socialist Peoples Party;1. SØNDERBORG;1897
F. The Socialist Peoples Party;2. AABENRAA;1449
F. The Socialist Peoples Party;3. TØNDER;1201
F. The Socialist Peoples Party;4. ESBJERG BY;2359
F. The Socialist Peoples Party;5. ESBJERG OMEGN;1768
F. The Socialist Peoples Party;6. VARDE;1198
F. The Socialist Peoples Party;7. VEJEN;1511
F. The Socialist Peoples Party;8. VEJLE NORD;1923
F. The Socialist Peoples Party;9. VEJLE SYD;2173
F. The Socialist Peoples Party;10. FREDERICIA;1762
F. The Socialist Peoples Party;11. KOLDING NORD;1646
F. The Socialist Peoples Party;12. KOLDING SYD;1968
F. The Socialist Peoples Party;13. HADERSLEV;1614
F. The Socialist Peoples Party;MIDTJYLLAND-NORDJYLLAND;80521
F. The Socialist Peoples Party;ØSTJYLLANDS STORKREDS;40665
F. The Socialist Peoples Party;1. ÅRHUS SYD;5147
F. The Socialist Peoples Party;2. ÅRHUS VEST;4458
F. The Socialist Peoples Party;3. ÅRHUS NORD;5968
F. The Socialist Peoples Party;4. ÅRHUS ØST;6446
F. The Socialist Peoples Party;5. DJURS;3630
F. The Socialist Peoples Party;6. RANDERS NORD;1793
F. The Socialist Peoples Party;7. RANDERS SYD;2089
F. The Socialist Peoples Party;8. FAVRSKOV;1852
F. The Socialist Peoples Party;9. SKANDERBORG;4613
F. The Socialist Peoples Party;10. HORSENS;3411
F. The Socialist Peoples Party;11. HEDENSTED;1258
F. The Socialist Peoples Party;VESTJYLLANDS STORKREDS;20151
F. The Socialist Peoples Party;9. HERNING NORD;1372
F. The Socialist Peoples Party;10. HOLSTEBRO;2447
F. The Socialist Peoples Party;11. RINGKØBING;1586
F. The Socialist Peoples Party;1. STRUER;1576
F. The Socialist Peoples Party;2. SKIVE;1681
F. The Socialist Peoples Party;3. VIBORG VEST;2733
F. The Socialist Peoples Party;4. VIBORG ØST;1848
F. The Socialist Peoples Party;5. SILKEBORG NORD;1956
F. The Socialist Peoples Party;6. SILKEBORG SYD;2472
F. The Socialist Peoples Party;7. IKAST;1099
F. The Socialist Peoples Party;8. HERNING SYD;1381
F. The Socialist Peoples Party;NORDJYLLANDS STORKREDS;19705
F. The Socialist Peoples Party;1. FREDERIKSHAVN;1470
F. The Socialist Peoples Party;2. HJØRRING;1966
F. The Socialist Peoples Party;3. BRØNDERSLEV;2038
F. The Socialist Peoples Party;4. THISTED;1521
F. The Socialist Peoples Party;5. HIMMERLAND;2588
F. The Socialist Peoples Party;6. MARIAGERFJORD;1170
F. The Socialist Peoples Party;7. AALBORG ØST;3620
F. The Socialist Peoples Party;8. AALBORG VEST;2722
F. The Socialist Peoples Party;9. AALBORG NORD;2610
I. Liberal Alliance;All DENMARK;82270
I. Liberal Alliance;HOVEDSTADEN;29400
I. Liberal Alliance;KØBENHAVNS STORKREDS;11655
I. Liberal Alliance;1. ØSTERBRO;1467
I. Liberal Alliance;2. SUNDBYVESTER;1326
I. Liberal Alliance;3. INDRE BY;1152
I. Liberal Alliance;4. SUNDBYØSTER;894
I. Liberal Alliance;5. NØRREBRO;776
I. Liberal Alliance;6. BISPEBJERG;528
I. Liberal Alliance;7. BRØNSHØJ;925
I. Liberal Alliance;8. VALBY;843
I. Liberal Alliance;9. VESTERBRO;1160
I. Liberal Alliance;10. FALKONER;935
I. Liberal Alliance;11. SLOTS;962
I. Liberal Alliance;12. TÅRNBY;687
I. Liberal Alliance;KØBENHAVNS OMEGNS STORKREDS;7916
I. Liberal Alliance;1. GENTOFTE;2138
I. Liberal Alliance;2. LYNGBY;1244
I. Liberal Alliance;3. GLADSAXE;965
I. Liberal Alliance;4. RØDOVRE;774
I. Liberal Alliance;5. HVIDOVRE;533
I. Liberal Alliance;6. BRØNDBY;609
I. Liberal Alliance;7. TAASTRUP;707
I. Liberal Alliance;8. BALLERUP;946
I. Liberal Alliance;NORDSJÆLLANDS STORKREDS;9581
I. Liberal Alliance;1. HELSINGØR;1126
I. Liberal Alliance;2. FREDENSBORG;1829
I. Liberal Alliance;3. HILLERØD;1580
I. Liberal Alliance;4. FREDERIKSSUND;906
I. Liberal Alliance;5. EGEDAL;1699
I. Liberal Alliance;6. RUDERSDAL;2441
I. Liberal Alliance;BORNHOLMS STORKREDS;248
I. Liberal Alliance;1. RØNNE;105
I. Liberal Alliance;2. AAKIRKEBY;143
I. Liberal Alliance;SJÆLLAND-SYDDANMARK;24466
I. Liberal Alliance;SJÆLLANDS STORKREDS;9289
I. Liberal Alliance;1. LOLLAND;241
I. Liberal Alliance;2. GULDBORGSUND;432
I. Liberal Alliance;3. VORDINGBORG;355
I. Liberal Alliance;4. NÆSTVED;956
I. Liberal Alliance;5. FAXE;662
I. Liberal Alliance;6. KØGE;1128
I. Liberal Alliance;7. GREVE;1184
I. Liberal Alliance;8. ROSKILDE;1360
I. Liberal Alliance;9. HOLBÆK;884
I. Liberal Alliance;10. KALUNDBORG;630
I. Liberal Alliance;11. RINGSTED;712
I. Liberal Alliance;12. SLAGELSE;745
I. Liberal Alliance;FYNS STORKREDS;5867
I. Liberal Alliance;1. ODENSE ØST;1091
I. Liberal Alliance;2. ODENSE VEST;879
I. Liberal Alliance;3. ODENSE SYD;1162
I. Liberal Alliance;4. ASSENS;365
I. Liberal Alliance;5. MIDDELFART;745
I. Liberal Alliance;6. NYBORG;518
I. Liberal Alliance;7. SVENDBORG;638
I. Liberal Alliance;8. FAABORG;469
I. Liberal Alliance;SYDJYLLANDS STORKREDS;9310
I. Liberal Alliance;1. SØNDERBORG;739
I. Liberal Alliance;2. AABENRAA;525
I. Liberal Alliance;3. TØNDER;376
I. Liberal Alliance;4. ESBJERG BY;794
I. Liberal Alliance;5. ESBJERG OMEGN;711
I. Liberal Alliance;6. VARDE;789
I. Liberal Alliance;7. VEJEN;827
I. Liberal Alliance;8. VEJLE NORD;819
I. Liberal Alliance;9. VEJLE SYD;941
I. Liberal Alliance;10. FREDERICIA;617
I. Liberal Alliance;11. KOLDING NORD;712
I. Liberal Alliance;12. KOLDING SYD;833
I. Liberal Alliance;13. HADERSLEV;627
I. Liberal Alliance;MIDTJYLLAND-NORDJYLLAND;28404
I. Liberal Alliance;ØSTJYLLANDS STORKREDS;14157
I. Liberal Alliance;1. ÅRHUS SYD;1492
I. Liberal Alliance;2. ÅRHUS VEST;1191
I. Liberal Alliance;3. ÅRHUS NORD;1811
I. Liberal Alliance;4. ÅRHUS ØST;2781
I. Liberal Alliance;5. DJURS;1370
I. Liberal Alliance;6. RANDERS NORD;513
I. Liberal Alliance;7. RANDERS SYD;709
I. Liberal Alliance;8. FAVRSKOV;645
I. Liberal Alliance;9. SKANDERBORG;1292
I. Liberal Alliance;10. HORSENS;1647
I. Liberal Alliance;11. HEDENSTED;706
I. Liberal Alliance;VESTJYLLANDS STORKREDS;7206
I. Liberal Alliance;9. HERNING NORD;703
I. Liberal Alliance;10. HOLSTEBRO;907
I. Liberal Alliance;11. RINGKØBING;619
I. Liberal Alliance;1. STRUER;471
I. Liberal Alliance;2. SKIVE;442
I. Liberal Alliance;3. VIBORG VEST;605
I. Liberal Alliance;4. VIBORG ØST;543
I. Liberal Alliance;5. SILKEBORG NORD;627
I. Liberal Alliance;6. SILKEBORG SYD;812
I. Liberal Alliance;7. IKAST;543
I. Liberal Alliance;8. HERNING SYD;934
I. Liberal Alliance;NORDJYLLANDS STORKREDS;7041
I. Liberal Alliance;1. FREDERIKSHAVN;464
I. Liberal Alliance;2. HJØRRING;504
I. Liberal Alliance;3. BRØNDERSLEV;786
I. Liberal Alliance;4. THISTED;532
I. Liberal Alliance;5. HIMMERLAND;604
I. Liberal Alliance;6. MARIAGERFJORD;494
I. Liberal Alliance;7. AALBORG ØST;1365
I. Liberal Alliance;8. AALBORG VEST;1107
I. Liberal Alliance;9. AALBORG NORD;1185
K. Christian Democrats;All DENMARK;60944
K. Christian Democrats;HOVEDSTADEN;10460
K. Christian Democrats;KØBENHAVNS STORKREDS;3268
K. Christian Democrats;1. ØSTERBRO;392
K. Christian Democrats;2. SUNDBYVESTER;261
K. Christian Democrats;3. INDRE BY;181
K. Christian Democrats;4. SUNDBYØSTER;290
K. Christian Democrats;5. NØRREBRO;223
K. Christian Democrats;6. BISPEBJERG;300
K. Christian Democrats;7. BRØNSHØJ;430
K. Christian Democrats;8. VALBY;280
K. Christian Democrats;9. VESTERBRO;184
K. Christian Democrats;10. FALKONER;225
K. Christian Democrats;11. SLOTS;263
K. Christian Democrats;12. TÅRNBY;239
K. Christian Democrats;KØBENHAVNS OMEGNS STORKREDS;2930
K. Christian Democrats;1. GENTOFTE;415
K. Christian Democrats;2. LYNGBY;282
K. Christian Democrats;3. GLADSAXE;354
K. Christian Democrats;4. RØDOVRE;479
K. Christian Democrats;5. HVIDOVRE;326
K. Christian Democrats;6. BRØNDBY;249
K. Christian Democrats;7. TAASTRUP;375
K. Christian Democrats;8. BALLERUP;450
K. Christian Democrats;NORDSJÆLLANDS STORKREDS;3229
K. Christian Democrats;1. HELSINGØR;297
K. Christian Democrats;2. FREDENSBORG;383
K. Christian Democrats;3. HILLERØD;1283
K. Christian Democrats;4. FREDERIKSSUND;407
K. Christian Democrats;5. EGEDAL;450
K. Christian Democrats;6. RUDERSDAL;409
K. Christian Democrats;BORNHOLMS STORKREDS;1033
K. Christian Democrats;1. RØNNE;486
K. Christian Democrats;2. AAKIRKEBY;547
K. Christian Democrats;SJÆLLAND-SYDDANMARK;17120
K. Christian Democrats;SJÆLLANDS STORKREDS;4171
K. Christian Democrats;1. LOLLAND;171
K. Christian Democrats;2. GULDBORGSUND;326
K. Christian Democrats;3. VORDINGBORG;201
K. Christian Democrats;4. NÆSTVED;394
K. Christian Democrats;5. FAXE;305
K. Christian Democrats;6. KØGE;474
K. Christian Democrats;7. GREVE;355
K. Christian Democrats;8. ROSKILDE;462
K. Christian Democrats;9. HOLBÆK;377
K. Christian Democrats;10. KALUNDBORG;394
K. Christian Democrats;11. RINGSTED;363
K. Christian Democrats;12. SLAGELSE;349
K. Christian Democrats;FYNS STORKREDS;3453
K. Christian Democrats;1. ODENSE ØST;417
K. Christian Democrats;2. ODENSE VEST;398
K. Christian Democrats;3. ODENSE SYD;604
K. Christian Democrats;4. ASSENS;327
K. Christian Democrats;5. MIDDELFART;487
K. Christian Democrats;6. NYBORG;339
K. Christian Democrats;7. SVENDBORG;459
K. Christian Democrats;8. FAABORG;422
K. Christian Democrats;SYDJYLLANDS STORKREDS;9496
K. Christian Democrats;1. SØNDERBORG;574
K. Christian Democrats;2. AABENRAA;678
K. Christian Democrats;3. TØNDER;654
K. Christian Democrats;4. ESBJERG BY;569
K. Christian Democrats;5. ESBJERG OMEGN;585
K. Christian Democrats;6. VARDE;904
K. Christian Democrats;7. VEJEN;1009
K. Christian Democrats;8. VEJLE NORD;1034
K. Christian Democrats;9. VEJLE SYD;841
K. Christian Democrats;10. FREDERICIA;556
K. Christian Democrats;11. KOLDING NORD;451
K. Christian Democrats;12. KOLDING SYD;789
K. Christian Democrats;13. HADERSLEV;852
K. Christian Democrats;MIDTJYLLAND-NORDJYLLAND;33364
K. Christian Democrats;ØSTJYLLANDS STORKREDS;10617
K. Christian Democrats;1. ÅRHUS SYD;928
K. Christian Democrats;2. ÅRHUS VEST;1149
K. Christian Democrats;3. ÅRHUS NORD;1415
K. Christian Democrats;4. ÅRHUS ØST;1118
K. Christian Democrats;5. DJURS;831
K. Christian Democrats;6. RANDERS NORD;519
K. Christian Democrats;7. RANDERS SYD;795
K. Christian Democrats;8. FAVRSKOV;569
K. Christian Democrats;9. SKANDERBORG;1013
K. Christian Democrats;10. HORSENS;890
K. Christian Democrats;11. HEDENSTED;1390
K. Christian Democrats;VESTJYLLANDS STORKREDS;17016
K. Christian Democrats;9. HERNING NORD;2409
K. Christian Democrats;10. HOLSTEBRO;1623
K. Christian Democrats;11. RINGKØBING;5624
K. Christian Democrats;1. STRUER;1169
K. Christian Democrats;2. SKIVE;508
K. Christian Democrats;3. VIBORG VEST;574
K. Christian Democrats;4. VIBORG ØST;827
K. Christian Democrats;5. SILKEBORG NORD;1205
K. Christian Democrats;6. SILKEBORG SYD;636
K. Christian Democrats;7. IKAST;1045
K. Christian Democrats;8. HERNING SYD;1396
K. Christian Democrats;NORDJYLLANDS STORKREDS;5731
K. Christian Democrats;1. FREDERIKSHAVN;686
K. Christian Democrats;2. HJØRRING;665
K. Christian Democrats;3. BRØNDERSLEV;738
K. Christian Democrats;4. THISTED;890
K. Christian Democrats;5. HIMMERLAND;597
K. Christian Democrats;6. MARIAGERFJORD;369
K. Christian Democrats;7. AALBORG ØST;805
K. Christian Democrats;8. AALBORG VEST;489
K. Christian Democrats;9. AALBORG NORD;492
O. The Danish Peoples Party;All DENMARK;308513
O. The Danish Peoples Party;HOVEDSTADEN;68960
O. The Danish Peoples Party;KØBENHAVNS STORKREDS;19181
O. The Danish Peoples Party;1. ØSTERBRO;1432
O. The Danish Peoples Party;2. SUNDBYVESTER;1758
O. The Danish Peoples Party;3. INDRE BY;654
O. The Danish Peoples Party;4. SUNDBYØSTER;1679
O. The Danish Peoples Party;5. NØRREBRO;928
O. The Danish Peoples Party;6. BISPEBJERG;1228
O. The Danish Peoples Party;7. BRØNSHØJ;2579
O. The Danish Peoples Party;8. VALBY;1573
O. The Danish Peoples Party;9. VESTERBRO;1076
O. The Danish Peoples Party;10. FALKONER;1055
O. The Danish Peoples Party;11. SLOTS;1348
O. The Danish Peoples Party;12. TÅRNBY;3871
O. The Danish Peoples Party;KØBENHAVNS OMEGNS STORKREDS;25419
O. The Danish Peoples Party;1. GENTOFTE;1617
O. The Danish Peoples Party;2. LYNGBY;1518
O. The Danish Peoples Party;3. GLADSAXE;2787
O. The Danish Peoples Party;4. RØDOVRE;3545
O. The Danish Peoples Party;5. HVIDOVRE;3298
O. The Danish Peoples Party;6. BRØNDBY;4121
O. The Danish Peoples Party;7. TAASTRUP;4092
O. The Danish Peoples Party;8. BALLERUP;4441
O. The Danish Peoples Party;NORDSJÆLLANDS STORKREDS;21734
O. The Danish Peoples Party;1. HELSINGØR;3127
