,areaname,population,date,newcasesbypublishdate,cases_per_100k
4373,Wales,3136000,02/08/2021,1106,35.267857142857146
2743,South East,9175000,02/08/2021,2491,27.149863760217983
63,East Midlands,4533000,02/08/2021,1889,41.672181778071916
5580,Scotland,5454000,02/08/2021,799,14.64979831316465
933,East of England,5847000,02/09/2020,81,1.3853258081067215
2541,North West,7300000,02/09/2020,280,3.835616438356164
5914,Scotland,5454000,02/09/2020,156,2.8602860286028604
3613,South West,5616000,02/09/2020,46,0.8190883190883191
2005,North East,2597000,02/09/2020,95,3.6580670003850595
3077,South East,9175000,02/09/2020,103,1.122615803814714
4707,Wales,3136000,02/09/2020,42,1.3392857142857142
397,East Midlands,4533000,02/09/2020,84,1.85307743216413
4149,West Midlands,2928000,02/09/2020,145,4.952185792349726
5314,Northern Ireland,1885000,02/09/2020,71,3.76657824933687
1469,London,8899375,02/09/2020,190,2.1349813891424962
4949,Northern Ireland,1885000,02/09/2021,793,42.06896551724138
4342,Wales,3136000,02/09/2021,2275,72.54464285714286
32,East Midlands,4533000,02/09/2021,2591,57.15861460401501
3248,South West,5616000,02/09/2021,3347,59.59757834757835
2176,North West,7300000,02/09/2021,3915,53.630136986301366
3784,West Midlands,2928000,02/09/2021,2740,93.5792349726776
5549,Scotland,5454000,02/09/2021,6400,117.34506784011735
568,East of England,5847000,02/09/2021,2187,37.40379681888148
1104,London,8899375,02/09/2021,3377,37.94648500596952
2712,South East,9175000,02/09/2021,4815,52.479564032697546
1640,North East,2597000,02/09/2021,1726,66.46130150173276
3047,South East,9175000,02/10/2020,272,2.9645776566757496
903,East of England,5847000,02/10/2020,225,3.8481272447408927
367,East Midlands,4533000,02/10/2020,389,8.5815133465696
5284,Northern Ireland,1885000,02/10/2020,934,49.54907161803713
1975,North East,2597000,02/10/2020,421,16.21101270696958
3583,South West,5616000,02/10/2020,193,3.4366096866096867
4677,Wales,3136000,02/10/2020,462,14.732142857142858
5884,Scotland,5454000,02/10/2020,775,14.209754308764209
1439,London,8899375,02/10/2020,497,5.5846618442306335
4119,West Midlands,2928000,02/10/2020,408,13.934426229508196
2511,North West,7300000,02/10/2020,1603,21.95890410958904
3218,South West,5616000,02/10/2021,2369,42.183048433048434
2,East Midlands,4533000,02/10/2021,3291,72.60092653871608
1610,North East,2597000,02/10/2021,1301,50.09626492106276
1074,London,8899375,02/10/2021,2344,26.338928295526372
2682,South East,9175000,02/10/2021,3530,38.474114441416894
4312,Wales,3136000,02/10/2021,0,0.0
5519,Scotland,5454000,02/10/2021,2515,46.11294462779612
538,East of England,5847000,02/10/2021,2632,45.014537369591245
4919,Northern Ireland,1885000,02/10/2021,992,52.62599469496021
2146,North West,7300000,02/10/2021,3927,53.79452054794521
3754,West Midlands,2928000,02/10/2021,3416,116.66666666666667
